Account Name,Adjusted Cost,Adjusted Proceeds,Avg Buy Price,Avg Sell Price,Exit Efficiency,Best Exit,Best Exit Price,Best Exit Time,Bias,Close Date,Close Time,Commission,Confluence,Did Emotions Affect Decisions?,Duration,Emotions,Entry Logic Explanation,Entry Model,Entry Price,Executions,Exit Price,Gross P&L,How Did The Trade Play Out?,Trade Risk,Initial Target,Instrument,Spread Type,Mistakes,Net P&L,Net ROI,Notes For Coaches,Open Date,Open Time,Pips,Reward Ratio,Points,Position MAE,Position MFE,Price MAE,Price MFE,Profit Target   Did You Respect It?,Realized RR,Return Per Pip,Reviewed,Setups,Side,Status,Stop Loss   Did You Respect It?,Playbook,Symbol,Ticks Value,Ticks Per Contract,Fee,Swap,Rating,Quantity,Was Emotionally Stable?,What I Did Well,Zella Score
Tradovate TPT 50K,1015200.0,1015150.0,25380.0,25378.75,,,,,"",2026-02-09,12:31:42 EST,0.0,"","",0.0,"","","",25380.0,2,25378.75,-50.0,"",0.0,0.0,NQ,future,not knowing how to use tradovate w/ trading view,-50.0,-0.00004925,"",2026-02-09,12:31:42 EST,,,-1.25,-50.0,50.0,25378.75,25381.25,"",,,true,"",long,Loss,"","",NQ,-10.0,-5.0,0.0,0.0,,2.0,"","",-100.0
Tradovate Apex 100K STATIC,253800.0,253552.5,25380.0,25355.25,,,,,"",2026-02-09,12:58:32 EST,0.0,"","",1941.0,"","","",25380.0,2,25355.25,-247.5,"",0.0,0.0,MNQ,future,"bleed, kept moving stoploss",-247.5,-0.00097518,"",2026-02-09,12:26:11 EST,,,-24.75,-305.0,212.5,25349.5,25401.25,"",,,false,"",long,Loss,"","",MNQ,-495.0,-99.0,0.0,0.0,,5.0,"","",-81.14754098
Tradovate TPT 50K,507260.0,507280.0,25363.0,25364.0,3.42,585.0,25392.25,2026-02-09 20:50:00 UTC,"",2026-02-09,16:27:36 EST,0.0,"","",2797.0,"","","",25363.0,2,25364.0,20.0,"",0.0,0.0,NQ,future,"",20.0,0.00003943,"",2026-02-09,15:40:59 EST,,,1.0,-615.0,585.0,25332.25,25392.25,"",,,false,"",long,Win,"","",NQ,4.0,4.0,0.0,0.0,0.5,1.0,"","",3.41880342
Tradovate TPT 50K,193050.0,193410.0,64.35,64.47,,,,,"",2026-02-10,09:12:25 EST,0.0,"","",375.0,"","","",64.35,2,64.47,360.0,"",0.0,0.0,CL,future,moved tp & sl,360.0,0.0018648,"",2026-02-10,09:06:10 EST,,,0.12,60.0,450.0,64.37,64.5,"",,,true,"",long,Win,"",ZTH | Pivot,CL,36.0,12.0,0.0,0.0,1.5,3.0,"","",76.92307692
Tradovate TPT 50K,193500.0,193230.0,64.5,64.41,,450.0,64.65,2026-02-10 14:00:00 UTC,"",2026-02-10,09:00:01 EST,0.0,"","",118.0,"","","",64.5,2,64.41,-270.0,"",0.0,0.0,CL,future,kept moving stoploss,-270.0,-0.00139535,"",2026-02-10,08:58:03 EST,,,-0.09,-270.0,30.0,64.41,64.51,"",,,true,"",long,Loss,"",ZTH | Pivot,CL,-27.0,-9.0,0.0,0.0,0.5,3.0,"","",-100.0
Tradovate TPT 50K,504065.0,504565.0,25203.25,25228.25,15.9,3145.0,25360.5,2026-02-11 19:00:00 UTC,"",2026-02-11,11:40:04 EST,0.0,"","",698.0,"","","",25203.25,2,25228.25,500.0,"",0.0,0.0,NQ,future,"",500.0,0.00099194,"",2026-02-11,11:28:26 EST,,,25.0,-565.0,1065.0,25175.0,25256.5,"",,,true,"",long,Win,"","",NQ,100.0,100.0,0.0,0.0,1.0,1.0,"","",46.94835681
Tradovate TPT 50K,502320.0,502800.0,25116.0,25140.0,9.82,4890.0,25360.5,2026-02-11 19:00:00 UTC,"",2026-02-11,10:37:50 EST,0.0,"","",24.0,"","","",25116.0,2,25140.0,480.0,"",0.0,0.0,NQ,future,"",480.0,0.00095557,"",2026-02-11,10:37:26 EST,,,24.0,-110.0,490.0,25110.5,25140.5,"",,,true,"",long,Win,"",ZTH | Pivot,NQ,96.0,96.0,0.0,0.0,1.0,1.0,"","",97.95918367
Tradovate Apex 100K FULL,505050.0,505255.0,25252.5,25262.75,9.49,2160.0,25360.5,2026-02-11 19:00:00 UTC,"",2026-02-11,13:27:39 EST,0.0,"","",1540.0,"","","",25252.5,2,25262.75,205.0,"",0.0,0.0,NQ,future,chasing price,205.0,0.0004059,"",2026-02-11,13:01:59 EST,,,10.25,-1035.0,495.0,25200.75,25277.25,"",,,true,"",long,Win,"","",NQ,41.0,41.0,0.0,0.0,,1.0,"","",41.41414141
Tradovate Apex 100K FULL,508755.0,508165.0,25437.75,25408.25,0.12,508755.0,0.0,1970-01-01 00:00:00 UTC,"",2026-02-10,10:34:43 EST,0.0,"","",197.0,"","","",25437.75,2,25408.25,590.0,"",0.0,0.0,NQ,future,moved tp & sl,590.0,0.00116104,"",2026-02-10,10:31:26 EST,,,29.5,-20.0,690.0,25438.75,25403.25,"",,,true,"",short,Win,"","",NQ,118.0,118.0,0.0,0.0,1.5,1.0,"","",85.50724638
Tradovate TPT 50K,507525.0,507270.0,25376.25,25363.5,0.05,507525.0,0.0,1970-01-01 00:00:00 UTC,"",2026-02-10,11:15:36 EST,0.0,"","",287.0,"","","",25376.25,2,25363.5,255.0,"",0.0,0.0,NQ,future,moved tp & sl,255.0,0.00050269,"",2026-02-10,11:10:49 EST,,,12.75,-260.0,545.0,25389.25,25349.0,"",,,true,"",short,Win,"","",NQ,51.0,51.0,0.0,0.0,1.5,1.0,"","",46.78899083
